2012-08-17T12:22:53.529+00:00|1030794474016|200.0.70.155|Firefox|good|4
2012-08-17T09:12:10.519+00:00|1030794474024|24.42.160.205|Firefox|fine|4
2012-08-26T20:04:16.037+00:00|1030794474033|27.115.70.110|Chrome|right|5
2012-08-27T14:06:30.043+00:00|1030794474041|46.29.131.82|Chrome|right|5
2012-10-27T19:32:39.640+00:00|1099513950785|200.0.34.2|Firefox|thx|3
2012-08-07T04:00:56.229+00:00|1030794474066|24.30.197.242|Firefox|About Franz Joseph I of Austria,  Herzegovina in 1908, which had been occupied by|81
2012-10-17T11:38:28.986+00:00|1099513950819|24.72.197.174|Internet Explorer|thanks|6
2012-07-06T12:39:06.911+00:00|962074997364|24.244.113.87|Firefox|thx|3
2012-10-27T19:38:39.819+00:00|1099513950844|200.0.34.2|Firefox|thx|3
2012-11-05T01:15:49.870+00:00|1099513950878|203.144.56.205|Internet Explorer|no|2
2012-11-11T05:56:02.604+00:00|1168233427622|200.71.148.223|Firefox|thanks|6
2012-07-31T05:39:53.100+00:00|1030794474159|196.1.99.204|Safari|yes|3
2012-07-12T22:05:49.635+00:00|1030794474167|24.30.26.198|Internet Explorer|About Queen Victoria, m temporarily gainedAbout Samuel Johnson, century poets|77
2012-10-20T23:23:48.409+00:00|1099513950911|1.1.3.146|Firefox|About Graham Greene, s a Roman Catholic novelist rather than aAbout First Czechos|81
2012-10-27T21:54:17.010+00:00|1099513950920|200.0.34.2|Firefox|About Beck,  Becket and King Henry II of England leading to Becket's assassination iAbout Maria Maria, aria Maria came in at #96 on the list o|142
2012-04-27T03:26:45.187+00:00|893355520720|190.123.160.54|Chrome|roflol|6
2012-08-13T07:04:36.742+00:00|1030794474201|13.1.24.193|Firefox|ok|2
2012-05-08T03:34:49.392+00:00|893355520737|192.159.117.207|Chrome|right|5
2012-07-09T01:25:08.789+00:00|962074997481|200.55.160.217|Internet Explorer|I see|5
2012-08-10T20:59:07.890+00:00|1030794474226|27.96.87.108|Chrome|good|4
2012-08-10T11:04:23.638+00:00|1030794474234|24.42.160.205|Firefox|maybe|5
2012-08-19T13:43:14.830+00:00|1030794474243|187.64.127.101|Firefox|About Francis I of France, 1494 – 31 March 1547) was King of France from 1515 until his d|89
2012-08-19T07:31:30.351+00:00|1030794474251|186.221.210.202|Firefox|right|5
2012-08-18T17:28:19.115+00:00|1030794474259|192.159.117.198|Firefox|I see|5
2012-10-23T00:06:18.164+00:00|1099513951004|190.96.91.18|Internet Explorer|great|5
2012-08-11T00:39:32.591+00:00|1030794474276|187.178.21.186|Chrome|thanks|6
2012-06-15T17:49:11.285+00:00|962074997549|41.70.225.40|Safari|maybe|5
2012-11-04T19:02:45.959+00:00|1099513951029|200.0.70.155|Firefox|ok|2
2012-10-18T13:21:44.048+00:00|1099513951046|143.54.229.19|Firefox|yes|3
2012-10-18T03:04:10.055+00:00|1099513951054|175.107.26.157|Firefox|About Jacques Offenbach, rope. Offenbach became associated with the About Oscar Hamme|85
2012-10-08T00:37:02.739+00:00|1099513951072|24.244.113.87|Firefox|About Christopher Columbus, hand over About Salvador Dalí,  enjoyed iAbout|75
